Test ID,Module,Sub-Module,Test Case,Pre-condition,Test Steps,Expected Result,Actual Result,Status (Pass/Fail),Tester,Date,Notes
EMP-BD-001,Employee Management,Staff Bank Details,Verify bank details page loads,Bank details exist,"1. Navigate to Employee Management > Staff Bank Details","Bank details table: Employee, Bank, Account #, Account Name, Status",,,,
EMP-BD-002,Employee Management,Staff Bank Details,Add bank detail,Employee and bank exist,"1. Click 'Add Bank Detail'
2. Fill: Employee, Bank, Account Number, Account Name, Account Type, Branch, SWIFT
3. Submit","Bank detail created",,,,
EMP-BD-003,Employee Management,Staff Bank Details,Edit bank detail,Bank detail exists,"1. Click Edit
2. Modify account number
3. Submit","Bank detail updated",,,,
EMP-BD-004,Employee Management,Staff Bank Details,Delete bank detail,Bank detail exists,"1. Click Delete
2. Confirm","Bank detail removed",,,,
EMP-PA-001,Employee Management,Payroll Administration,Verify payroll page loads,Payroll data exists,"1. Navigate to Employee Management > Payroll Administration","Payroll summary with month/year selector, Total Employees, Gross Pay, Deductions, Net Pay",,,,
EMP-PA-002,Employee Management,Payroll Administration,Create new payroll,Employees with salaries configured,"1. Click 'Create New Payroll'
2. Select month/year
3. Submit","Payroll generated with employee salary breakdowns",,,,
EMP-PA-003,Employee Management,Payroll Administration,Verify payroll calculations,Payroll created,"1. Open payroll detail
2. Check individual employee: Gross = Basic + Allowances; Deductions = NSSF + NHIF + Tax + Loans; Net = Gross - Deductions","All calculations match expected values",,,,
EMP-PA-004,Employee Management,Payroll Administration,Submit payroll for approval,Payroll in Draft status,"1. Click Submit Payroll","Status changes to Submitted; approval workflow starts",,,,
EMP-PA-005,Employee Management,Payroll Administration,Approve payroll,Payroll Submitted; user is approver,"1. Click Approve","Payroll approved",,,,
EMP-PA-006,Employee Management,Payroll Administration,Generate salary slips from payroll,Payroll Approved,"1. Click 'Generate Salary Slips'","Individual salary slips generated for all employees in payroll",,,,
EMP-PA-007,Employee Management,Payroll Administration,Export payroll to CSV,Payroll exists,"1. Click Export CSV","CSV downloads with payroll data",,,,
EMP-DED-001,Employee Management,Deductions,Verify deductions page loads,Deductions exist,"1. Navigate to Employee Management > Deductions","Deductions table: Code, Name, Type, Percentage/Amount, Status",,,,
EMP-DED-002,Employee Management,Deductions,Add deduction type,User has permission,"1. Click 'Add Deduction'
2. Fill: Code, Name, Type (Pension/Health/Tax/Loan), Nature, Employee %, Employer %
3. Submit","Deduction type created",,,,
EMP-DED-003,Employee Management,Deductions,Edit deduction,Deduction exists,"1. Click Edit
2. Modify percentage
3. Submit","Deduction updated",,,,
EMP-DED-004,Employee Management,Deductions,Delete deduction,Deduction with no subscriptions,"1. Click Delete
2. Confirm","Deduction removed",,,,
EMP-DS-001,Employee Management,Deduction Subscriptions,Verify subscriptions page loads,Subscriptions exist,"1. Navigate to Employee Management > Deduction Subscriptions","Subscriptions table: Employee, Deduction Type, Amount/%, Start Date, Status",,,,
EMP-DS-002,Employee Management,Deduction Subscriptions,Add subscription,Employee and deduction exist,"1. Click 'Add Subscription'
2. Select Employee, Deduction Type, Amount
3. Submit","Subscription created; employee will have this deduction in next payroll",,,,
EMP-DS-003,Employee Management,Deduction Subscriptions,Deactivate subscription,Subscription is active,"1. Click Deactivate on subscription","Subscription deactivated; excluded from future payrolls",,,,
EMP-SS-001,Employee Management,Salary Slips,Verify salary slips page loads,Salary slips exist,"1. Navigate to Employee Management > Salary Slips","Salary slip options with month/year selector",,,,
