Test ID,Module,Sub-Module,Test Case,Pre-condition,Test Steps,Expected Result,Actual Result,Status (Pass/Fail),Tester,Date,Notes
BIL-DB-001,Billing,Dashboard,Verify billing dashboard loads,Billing data exists,"1. Navigate to Billing > Dashboard","Metric cards display: Total Invoices, Total Clients, Total Revenue, Total Emails Sent",,,,
BIL-DB-002,Billing,Dashboard,Verify recent activity sections,Recent billing activity exists,"1. Navigate to Billing Dashboard
2. Check Recent Invoices, Overdue Invoices, Recent Payments sections","Each section shows 5 most recent items with correct data",,,,
BIL-DB-003,Billing,Dashboard,Verify monthly revenue chart,12 months of billing data,"1. Navigate to Billing Dashboard
2. Check revenue chart","Chart displays last 12 months of revenue data",,,,
BIL-DB-004,Billing,Dashboard,Verify invoice status breakdown,Invoices with various statuses exist,"1. Check Invoice Status Breakdown section","Count and amount by status (Draft, Pending, Paid, Overdue, Cancelled) displayed",,,,
BIL-QT-001,Billing,Quotations,Verify quotations page loads,Quotations exist,"1. Navigate to Billing > Quotations","Quotations table: Document #, Client, Issue Date, Valid Until, Amount, Status",,,,
BIL-QT-002,Billing,Quotations,Create new quotation,Client exists,"1. Click 'Create Quotation'
2. Fill: Client, Issue Date, Valid Until, Items (Name, Qty, Unit Price, Tax Rate), Discount, Notes, Terms
3. Submit","Quotation created; line totals and grand total auto-calculated",,,,
BIL-QT-003,Billing,Quotations,Edit quotation,Quotation in Draft status,"1. Click Edit
2. Modify items and amounts
3. Submit","Quotation updated; totals recalculated",,,,
BIL-QT-004,Billing,Quotations,Delete quotation,Quotation in Draft status,"1. Click Delete
2. Confirm","Quotation removed",,,,
BIL-QT-005,Billing,Quotations,Convert quotation to proforma,Quotation in Sent/Accepted status,"1. Open quotation
2. Click 'Convert to Proforma'","Proforma created with quotation items copied; quotation status changes to Converted",,,,
BIL-QT-006,Billing,Quotations,Convert quotation to invoice,Quotation in Accepted status,"1. Open quotation
2. Click 'Convert to Invoice'","Invoice created with quotation items; quotation marked as Converted",,,,
BIL-QT-007,Billing,Quotations,Generate quotation PDF,Quotation exists,"1. Click 'Generate PDF'","PDF downloads with professional quotation layout",,,,
BIL-QT-008,Billing,Quotations,Send quotation via email,Quotation exists; client has email,"1. Click 'Send Email'
2. Confirm recipient and template","Email sent to client; status changes to Sent",,,,
BIL-QT-009,Billing,Quotations,Duplicate quotation,Quotation exists,"1. Click 'Duplicate'","New quotation created as copy with Draft status",,,,
BIL-QT-010,Billing,Quotations,Filter quotations by status,Various statuses exist,"1. Select status filter","Only quotations with selected status shown",,,,
BIL-PF-001,Billing,Proformas,Verify proformas page loads,Proformas exist,"1. Navigate to Billing > Proformas","Proformas table displays correctly",,,,
BIL-PF-002,Billing,Proformas,Create proforma,Client exists,"1. Click 'Create Proforma'
2. Fill details and items
3. Submit","Proforma created",,,,
BIL-PF-003,Billing,Proformas,Convert proforma to invoice,Proforma Accepted,"1. Open proforma
2. Click 'Convert to Invoice'","Invoice created from proforma items; proforma status Converted",,,,
BIL-PF-004,Billing,Proformas,Generate proforma PDF,Proforma exists,"1. Click 'Generate PDF'","PDF downloads",,,,
