Test ID,Module,Sub-Module,Test Case,Pre-condition,Test Steps,Expected Result,Actual Result,Status (Pass/Fail),Tester,Date,Notes
PROJ-CLI-001,Projects,Project Clients,Verify clients list page loads,Clients exist,"1. Navigate to Projects > Project Clients
2. Observe page","Clients table displays: Name, Contact, Email, Phone, Address, Status",,,,
PROJ-CLI-002,Projects,Project Clients,Add new client,User has create permission,"1. Click 'Add New Client'
2. Fill: First Name, Last Name, Email, Phone, Address, City, Country, Company Name, Client Type
3. Submit","New client created and appears in table",,,,
PROJ-CLI-003,Projects,Project Clients,Edit client,Client exists,"1. Click Edit on a client
2. Modify fields
3. Submit","Client record updated successfully",,,,
PROJ-CLI-004,Projects,Project Clients,Delete client,Client exists with no linked projects,"1. Click Delete on a client
2. Confirm deletion","Client removed from table",,,,
PROJ-CLI-005,Projects,Project Clients,Toggle client active/inactive,Client exists,"1. Click toggle status on a client","Client status changes between Active and Inactive",,,,
PROJ-CLI-006,Projects,Project Clients,Filter clients by status,Active and inactive clients exist,"1. Filter by Active status","Only active clients displayed",,,,
PROJ-LST-001,Projects,Project List,Verify project list page loads,Projects exist,"1. Navigate to Projects > Project List
2. Observe page","Statistics cards (Total, Active, Completed, Delayed, Contract Value) and projects table display correctly",,,,
PROJ-LST-002,Projects,Project List,Create new project,User has create permission,"1. Click 'Create New Project'
2. Fill all required fields
3. Submit","New project created; appears in table with correct status",,,,
PROJ-LST-003,Projects,Project List,Edit project,Project exists,"1. Click Edit on a project
2. Modify fields
3. Submit","Project updated successfully",,,,
PROJ-LST-004,Projects,Project List,View project details,Project exists,"1. Click on a project name or View button","Project detail page loads with full information",,,,
PROJ-LST-005,Projects,Project List,Filter projects by status,Projects with different statuses exist,"1. Select status filter (e.g. In Progress)
2. Apply","Only projects with selected status displayed",,,,
PROJ-LST-006,Projects,Project List,Search projects,Projects exist,"1. Type project name in search box","Table filters to show matching projects",,,,
PROJ-LST-007,Projects,Project List,Delete project,Project exists with no dependencies,"1. Click Delete on a project
2. Confirm","Project removed from list",,,,
PROJ-SV-001,Projects,Site Visits,Verify site visits page loads,Site visit records exist,"1. Navigate to Projects > Site Visits","Site visits table displays: Date, Project, Supervisor, Findings, Status",,,,
